Indicator,Unit,Industry,Scale,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
CO2 emissions,Millions of Metric tons of CO2,Accomodation and food services,Units,0.692,0.725,0.793,0.474,0.576,0.581,0.552,0.649,0.679,0.621,0.657,0.706,0.837,0.988,1.023,1.116,1.293,1.274,1.151,0.953,1.308,1.416,1.518,1.627
CO2 emissions,Millions of Metric tons of CO2,Activities of households as employers; undifferentiated goods- and services-producing activities of households for own use,Units,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2 emissions,Millions of Metric tons of CO2,Administrative and support services,Units,4.322,4.562,4.459,3.792,3.878,3.543,3.217,3.304,3.193,3.525,3.636,3.981,4.631,5.328,5.456,6.339,7.651,8.296,12.484,17.401,21.611,25.263,30.065,31.918
CO2 emissions,Millions of Metric tons of CO2,"Agriculture, hunting, forestry",Units,22.425,23.814,24.371,25.355,26.774,26.516,25.819,26.503,26.022,27.126,25.796,29.43,27.678,26.952,28.55,30.035,33.153,35.851,41.374,38.267,39.04,40.5,43.246,44.88
CO2 emissions,Millions of Metric tons of CO2,Air transport,Units,4.966,5.079,5.062,5.11,5.335,5.528,5.563,5.703,5.978,6.639,8.143,9.588,10.818,10.894,11.284,12.481,13.884,13.733,14.364,15.008,16.213,18.37,20.96,22.81
CO2 emissions,Millions of Metric tons of CO2,"Arts, entertainment and recreation",Units,0.287,0.268,0.325,0.295,0.393,0.404,0.413,0.449,0.486,0.588,0.642,0.704,0.833,0.914,0.928,1.018,1.13,0.293,0.261,0.32,0.359,0.377,0.407,0.431
CO2 emissions,Millions of Metric tons of CO2,Basic metals,Units,101.767,105.103,113.716,95.21,108.899,114.684,114.212,126.992,123.812,147.427,149.678,167.986,183.626,222.948,271.871,279.134,289.429,344.682,339.459,393.051,382.196,426.118,438.181,491.954
CO2 emissions,Millions of Metric tons of CO2,Chemicals and pharmaceutical products,Units,12.572,12.884,13.684,11.639,10.8,17.037,17.215,18.736,16.764,18.382,16.382,18.205,16.988,17.376,15.61,16.089,15.674,15.886,13.574,13.872,14.059,13.511,13.03,13.373
CO2 emissions,Millions of Metric tons of CO2,Coke and refined petroleum products,Units,21.293,22.382,24.178,26.612,32.235,34.361,37.543,38.107,48.271,47.53,48.743,53.695,59.575,59.61,54.993,55.727,54.092,53.98,51.233,52.256,54.565,58.528,59.696,60.054
CO2 emissions,Millions of Metric tons of CO2,"Computer, electronic and optical products",Units,0.246,0.267,0.263,0.29,0.368,0.34,0.327,0.362,0.318,0.294,0.294,0.305,0.299,0.296,0.293,0.299,0.324,0.292,0.711,0.139,0.461,0.509,0.523,0.534
CO2 emissions,Millions of Metric tons of CO2,Construction,Units,2.017,2.303,2.35,2.412,2.969,3.121,3.314,3.47,3.537,3.975,4.367,5.681,6.754,7.614,8.602,9.546,10.733,13.861,12.207,18.359,12.199,11.424,12.61,13.923
CO2 emissions,Millions of Metric tons of CO2,Education,Units,1.018,1.055,1.097,0.614,0.73,0.731,0.718,0.818,0.89,0.901,0.928,1.08,1.303,1.397,1.333,1.402,1.752,1.886,1.514,2.162,2.324,2.566,2.889,3.071
CO2 emissions,Millions of Metric tons of CO2,Electrical equipment,Units,0.494,0.538,0.534,0.589,0.752,0.701,0.677,0.749,0.667,0.622,0.619,0.648,0.644,0.627,0.624,0.641,0.691,0.685,0.607,0.483,0.741,0.811,0.806,0.811
CO2 emissions,Millions of Metric tons of CO2,"Electricity, gas, steam and air conditioning supply",Units,320.794,341.644,352.617,364.27,393.395,420.372,433.088,441.91,463.782,492.788,509.41,533.958,575.966,599.143,648.576,689.605,719.542,808.92,834.69,925.619,924.262,888.827,942.519,1010.723
CO2 emissions,Millions of Metric tons of CO2,Fabricated metal products,Units,0.766,0.857,0.957,1.041,1.389,1.401,1.464,1.558,1.509,1.754,1.779,1.818,1.902,1.994,2.062,2.101,2.377,2.795,2.835,0.818,0.801,0.799,0.781,0.803
CO2 emissions,Millions of Metric tons of CO2,Financial and insurance activities,Units,3.781,4.09,4.315,3.37,3.982,3.905,3.561,3.604,3.83,4.27,4.204,4.122,4.712,4.885,5.42,5.63,6.757,7.465,6.04,6.751,4.459,4.7,5.143,5.675
CO2 emissions,Millions of Metric tons of CO2,Fishing and aquaculture,Units,0.062,0.065,0.078,0.073,0.073,0.1,0.088,0.109,0.1,0.076,0.109,0.112,0.124,0.181,0.203,0.273,0.305,0.258,0.248,0.309,0.087,0.101,0.129,0.141
CO2 emissions,Millions of Metric tons of CO2,"Food products, beverages and tobacco",Units,0.865,0.714,0.631,0.693,0.852,1.053,0.881,1.145,1.086,1.15,1.314,1.472,1.432,1.897,1.609,1.639,1.915,0.864,1.185,2.201,2.332,2.688,3.124,3.244
CO2 emissions,Millions of Metric tons of CO2,Human health and social work activities,Units,0.442,0.466,0.506,0.293,0.345,0.33,0.319,0.355,0.372,0.324,0.339,0.37,0.443,0.491,0.514,0.579,0.688,0.753,0.789,1.141,0.905,1.033,1.152,1.238
CO2 emissions,Millions of Metric tons of CO2,IT and other information services,Units,1.251,1.316,1.363,0.892,1.003,0.887,0.876,0.934,0.959,0.934,1.014,1.122,1.31,1.5,1.512,1.738,2.115,2.232,2.57,2.909,3.033,3.424,3.551,3.774
CO2 emissions,Millions of Metric tons of CO2,Land transport and transport via pipelines,Units,15.902,16.756,16.129,16.708,18.368,19.485,19.777,20.35,20.558,23.156,25.283,27.851,34.012,38.178,41.023,46.002,49.87,46.267,55.108,60.333,71.304,73.099,76.671,77.276
CO2 emissions,Millions of Metric tons of CO2,Machinery and equipment n.e.c.,Units,0.795,0.861,0.865,0.952,1.209,1.132,1.108,1.211,1.08,1.012,1.027,1.068,1.065,1.031,1.042,1.057,1.119,1.041,0.627,0.487,5.04,5.324,5.453,5.537
CO2 emissions,Millions of Metric tons of CO2,Manufacturing nec; repair and installation of machinery and equipment,Units,12.635,11.869,16.346,22.306,22.248,14.691,14.675,14.062,12.843,13.528,23.925,27.73,35.954,41.558,50.536,61.686,66.299,61.195,75.603,77.071,82.773,80.683,97.566,79.148
CO2 emissions,Millions of Metric tons of CO2,"Mining and quarrying, energy producing products",Units,6.065,6.085,7.835,8.583,10.639,10.754,11.542,11.347,10.778,10.472,10.704,10.75,20.153,11.794,9.384,7.024,17.485,14.853,17.21,18.887,16.664,19.903,20.742,22.584
CO2 emissions,Millions of Metric tons of CO2,"Mining and quarrying, non-energy producing products",Units,1.533,1.403,1.308,1.397,1.398,1.451,1.432,1.539,1.618,1.937,2.069,2.116,2.933,3.23,3.435,4.11,3.502,2.996,4.236,3.87,3.765,4.025,4.412,4.953
