Year,Drought,Extreme temperature,Flood,Landslide,Storm
1980,0,2,5,1,2
1981,0,1,1,0,4
1982,1,1,2,0,2
1983,0,0,4,1,5
1984,0,1,5,0,2
1985,0,2,5,0,2
1986,0,0,3,2,5
1987,1,1,4,0,4
1988,0,2,3,2,1
1989,0,2,2,1,2
1990,0,2,4,1,5
1991,0,0,8,0,1
1992,0,1,4,1,2
1993,1,0,5,1,2
1994,0,1,2,0,2
1995,0,1,3,3,2
1996,1,0,6,1,4
1997,0,0,6,2,1
1998,0,2,3,5,4
1999,0,1,2,0,3
2000,1,1,6,3,2
2001,0,2,9,3,3
2002,1,2,6,0,4
2003,0,2,6,1,7
2004,0,0,6,0,0
2005,0,2,17,2,4
2006,0,1,17,0,2
2007,0,3,16,0,1
2008,0,1,8,1,1
2009,1,2,6,2,6
2010,0,1,8,1,7
2011,0,2,7,0,3
2012,0,2,6,0,1
2013,0,1,5,0,5
2014,0,3,7,1,5
2015,1,1,10,1,6
2016,0,1,8,2,3
2017,0,1,9,3,5
2018,1,1,9,0,11
2019,0,2,5,0,5
2020,0,0,5,2,4
2021,0,0,9,2,5
2022,0,1,3,1,2
2023,0,2,5,0,7
