Series,Variable,Scenarios,Unit,2020,2025,2030,2035,2040,2045,2050
Surface temperature,50th percentile,Below 2°C,Degree Celsius,26.27963,26.44074,26.57359,26.7102,26.82258,26.875,26.94863
Surface temperature,50th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.32247,26.50297,26.61592,26.75344,26.88264,26.99004,27.14162
Surface temperature,50th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.27894,26.42874,26.55517,26.72458,26.86732,26.93892,27.0121
Surface temperature,50th percentile,Fragmented World,Degree Celsius,26.28414,26.45171,26.58268,26.74344,26.87692,26.99266,27.11795
Surface temperature,50th percentile,Low Demand,Degree Celsius,26.27877,26.42427,26.55279,26.68129,26.77904,26.81311,26.82203
Surface temperature,50th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.28444,26.45525,26.58748,26.7468,26.88485,27.00403,27.14938
Surface temperature,50th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.27984,26.445,26.57917,26.70382,26.78689,26.80483,26.80417
Surface temperature,50th percentile,Below 2°C,Degree Celsius,26.26554,26.43131,26.58221,26.71417,26.81622,26.86633,26.93365
Surface temperature,50th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.27036,26.45108,26.57987,26.73919,26.88082,26.99705,27.13546
Surface temperature,50th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.2654,26.42818,26.55228,26.72897,26.86146,26.92045,26.99846
Surface temperature,50th percentile,Fragmented World,Degree Celsius,26.27047,26.45048,26.58027,26.76172,26.90085,26.98292,27.08359
Surface temperature,50th percentile,Low Demand,Degree Celsius,26.26556,26.43244,26.60867,26.71504,26.76707,26.7672,26.78708
Surface temperature,50th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.27062,26.45237,26.58097,26.73933,26.86584,26.95834,27.06724
Surface temperature,50th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.26556,26.43198,26.59294,26.69087,26.74361,26.74341,26.75846
Surface temperature,50th percentile,Below 2°C,Degree Celsius,26.26949696,26.42780295,26.54946368,26.68378478,26.77431755,26.81091964,26.85784335
Surface temperature,50th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.26949696,26.4471301,26.56881238,26.72922051,26.86650123,26.98888707,27.14095134
Surface temperature,50th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.26949696,26.4471301,26.56881238,26.69174518,26.82174793,26.86862433,26.90105629
Surface temperature,50th percentile,Fragmented World,Degree Celsius,26.26949696,26.4471301,26.56881238,26.72657615,26.85995924,26.9574195,27.06002715
Surface temperature,50th percentile,Low Demand,Degree Celsius,26.26949696,26.43441951,26.55348546,26.63555821,26.64940349,26.60666311,26.57981815
Surface temperature,50th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.26949696,26.44675365,26.56894394,26.72448511,26.82984551,26.90533699,26.99252241
Surface temperature,50th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.26949696,26.43039125,26.54961246,26.64862989,26.68203207,26.66805503,26.68143111
Surface temperature,5th percentile,Below 2°C,Degree Celsius,26.17861,26.28229,26.3795,26.46701,26.53166,26.5631,26.6096
Surface temperature,5th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.1783,26.27934,26.36921,26.47765,26.59227,26.68094,26.81182
Surface temperature,5th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.17834,26.27724,26.37137,26.48879,26.57448,26.6162,26.6629
Surface temperature,5th percentile,Fragmented World,Degree Celsius,26.1784,26.27885,26.36962,26.47834,26.57589,26.6487,26.74414
Surface temperature,5th percentile,Low Demand,Degree Celsius,26.17818,26.27675,26.36542,26.45131,26.50023,26.5086,26.50856
Surface temperature,5th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.17857,26.2811,26.37407,26.4781,26.57849,26.65956,26.77053
Surface temperature,5th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.17867,26.2858,26.37995,26.45243,26.49002,26.49748,26.48655
Surface temperature,5th percentile,Below 2°C,Degree Celsius,26.17242,26.29025,26.39022,26.4766,26.53788,26.55597,26.5921
Surface temperature,5th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.17222,26.28841,26.37256,26.48288,26.59279,26.66376,26.76675
Surface temperature,5th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.17222,26.28605,26.37279,26.5016,26.58187,26.6049,26.64256
Surface temperature,5th percentile,Fragmented World,Degree Celsius,26.17233,26.28831,26.3726,26.49505,26.58952,26.63885,26.70268
Surface temperature,5th percentile,Low Demand,Degree Celsius,26.17243,26.28944,26.39023,26.44423,26.46566,26.4492,26.44576
Surface temperature,5th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.1725,26.28985,26.37171,26.47897,26.56961,26.62146,26.69872
Surface temperature,5th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.17243,26.29145,26.39319,26.4526,26.47562,26.45178,26.45495
Surface temperature,5th percentile,Below 2°C,Degree Celsius,26.16986443,26.28281415,26.37191694,26.46140853,26.50955524,26.51032012,26.53493187
Surface temperature,5th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.16986443,26.28233992,26.36664927,26.47299483,26.57250923,26.6411181,26.74360034
Surface temperature,5th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.16986443,26.28233992,26.36664927,26.4715657,26.54354126,26.55574866,26.55759985
Surface temperature,5th percentile,Fragmented World,Degree Celsius,26.16986443,26.28233992,26.36664927,26.47065684,26.55860456,26.60891259,26.67711721
Surface temperature,5th percentile,Low Demand,Degree Celsius,26.16986443,26.28681808,26.36642909,26.4169083,26.39473779,26.34158109,26.30342323
Surface temperature,5th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.16986443,26.28107248,26.36487144,26.46035113,26.53090891,26.56869864,26.62043504
Surface temperature,5th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.16986443,26.28293619,26.36767512,26.42732247,26.42849105,26.39224261,26.38371386
Surface temperature,95th percentile,Below 2°C,Degree Celsius,26.38907,26.6276,26.86812,27.1053,27.28828,27.41009,27.54808
Surface temperature,95th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.35914,26.59144,26.80955,27.03632,27.27519,27.49741,27.73717
Surface temperature,95th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.38847,26.61328,26.82554,27.10611,27.32627,27.47336,27.61397
Surface temperature,95th percentile,Fragmented World,Degree Celsius,26.35932,26.59131,26.80974,27.04723,27.27984,27.46962,27.66411
Surface temperature,95th percentile,Low Demand,Degree Celsius,26.38829,26.60839,26.83264,27.05929,27.23094,27.33449,27.3785
Surface temperature,95th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.35953,26.59664,26.82031,27.05537,27.28786,27.48376,27.69675
Surface temperature,95th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.38928,26.63317,26.88176,27.10791,27.26605,27.34926,27.3654
Surface temperature,95th percentile,Below 2°C,Degree Celsius,26.37216,26.62466,26.88053,27.11219,27.28375,27.39429,27.53436
Surface temperature,95th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.34384,26.59669,26.798,27.03112,27.27879,27.48192,27.70404
Surface temperature,95th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.372,26.61839,26.81391,27.10756,27.33311,27.4563,27.59887
Surface temperature,95th percentile,Fragmented World,Degree Celsius,26.34391,26.59626,26.79867,27.07044,27.31755,27.49337,27.66032
Surface temperature,95th percentile,Low Demand,Degree Celsius,26.37217,26.62661,26.92476,27.13932,27.26452,27.31773,27.37615
Surface temperature,95th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.34406,26.60007,26.8058,27.03525,27.27123,27.44469,27.62928
Surface temperature,95th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.37217,26.62585,26.89706,27.09403,27.19514,27.24466,27.30524
Surface temperature,95th percentile,Below 2°C,Degree Celsius,26.33954323,26.61526212,26.80984614,27.04387878,27.21955512,27.32187259,27.43543159
Surface temperature,95th percentile,Current Policies (Hot house world scenario),Degree Celsius,26.33954323,26.58987265,26.77614862,27.02065717,27.25285805,27.46882753,27.71006077
Surface temperature,95th percentile,Delayed Transition (Disorderly scenario),Degree Celsius,26.33954323,26.58987265,26.77614862,27.04089548,27.26005723,27.37619154,27.48313444
Surface temperature,95th percentile,Fragmented World,Degree Celsius,26.33954323,26.58987265,26.77614862,27.01741256,27.25112282,27.44377268,27.62889421
Surface temperature,95th percentile,Low Demand,Degree Celsius,26.33954323,26.59648594,26.78595396,26.95523285,27.0468348,27.04045872,27.05981572
Surface temperature,95th percentile,Nationally Determined Contributions (NDCs),Degree Celsius,26.33954323,26.58757237,26.77942896,27.01650355,27.23399919,27.38609532,27.54797192
Surface temperature,95th percentile,Net Zero 2050 (Orderly scenario),Degree Celsius,26.33954323,26.61839907,26.81666154,27.0192397,27.12056243,27.1453214,27.19657261
